issn,journal_title,oa_model,apc,year,publisher
2277-3347,Indian Geotechnical Journal,hybrid,2780,2022,Springerhybrid
0974-0422,Indian Journal of Clinical Biochemistry,hybrid,2780,2022,Springerhybrid
0975-0711,Indian Journal of Gastroenterology,hybrid,3190,2022,Springerhybrid
2363-8400,Indian Journal of Gynecologic Oncology,hybrid,4190,2022,Springerhybrid
0974-0449,Indian Journal of Hematology and Blood Transfusion,hybrid,3280,2022,Springerhybrid
0973-7715,Indian Journal of Microbiology,hybrid,3390,2022,Springerhybrid
1998-3727,Indian Journal of Orthopaedics,hybrid,2890,2022,Springerhybrid
0973-7707,Indian Journal of Otolaryngology and Head & Neck Surgery,hybrid,3390,2022,Springerhybrid
0974-9845,Indian Journal of Physics,hybrid,2780,2022,Springerhybrid
0973-9793,Indian Journal of Surgery,hybrid,3390,2022,Springerhybrid
0976-6952,Indian Journal of Surgical Oncology,hybrid,3280,2022,Springerhybrid
0973-7723,Indian Journal of Thoracic and Cardiovascular Surgery,hybrid,3390,2022,Springerhybrid
0974-7559,Indian Pediatrics,hybrid,3190,2022,Springerhybrid
2248-9800,Indian Phytopathology,hybrid,2890,2022,Springerhybrid
1439-0973,Infection,hybrid,3990,2022,Springerhybrid
1573-2576,Inflammation,hybrid,4190,2022,Springerhybrid
1420-908X,Inflammation Research,hybrid,4190,2022,Springerhybrid
1568-5608,Inflammopharmacology,hybrid,4190,2022,Springerhybrid
1432-122X,Informatik Spektrum,hybrid,2990,2022,Springerhybrid
2511-249X,Information Geometry,hybrid,2690,2022,Springerhybrid
1573-7659,Information Retrieval Journal,hybrid,3390,2022,Springerhybrid
1617-9854,Information Systems and e-Business Management,hybrid,2890,2022,Springerhybrid
1572-9419,Information Systems Frontiers,hybrid,2890,2022,Springerhybrid
1943-4294,Information Technology & Tourism,hybrid,2990,2022,Springerhybrid
1573-7667,Information Technology and Management,hybrid,3390,2022,Springerhybrid
1614-5054,Innovations in Systems and Software Engineering,hybrid,2890,2022,Springerhybrid
1573-1758,Innovative Higher Education,hybrid,2780,2022,Springerhybrid
2364-4184,Innovative Infrastructure Solutions,hybrid,2780,2022,Springerhybrid
1420-9098,Insectes Sociaux,hybrid,3280,2022,Springerhybrid
1573-1952,Instructional Science,hybrid,2890,2022,Springerhybrid
1420-8989,Integral Equations and Operator Theory,hybrid,2890,2022,Springerhybrid
2193-9772,Integrating Materials and Manufacturing Innovation,hybrid,3390,2022,Springerhybrid
1936-3567,Integrative Psychological and Behavioral Science,hybrid,2780,2022,Springerhybrid
1861-2784,Intelligent Service Robotics,hybrid,2990,2022,Springerhybrid
1432-1238,Intensive Care Medicine,hybrid,4790,2022,Springerhybrid
1573-1790,Interchange,hybrid,2890,2022,Springerhybrid
1867-1462,Interdisciplinary Sciences: Computational Life Sciences,hybrid,3490,2022,Springerhybrid
2047-7422,Interest Groups & Advocacy,hybrid,2890,2022,Springerhybrid
1970-9366,Internal and Emergency Medicine,hybrid,4190,2022,Springerhybrid
1573-966X,International Advances in Economic Research,hybrid,2690,2022,Springerhybrid
1432-1246,International Archives of Occupational and Environmental Health,hybrid,3490,2022,Springerhybrid
2192-3183,International Cancer Conference Journal,hybrid,3280,2022,Springerhybrid
2197-4241,International Communication of Chinese Culture,hybrid,2890,2022,Springerhybrid
2662-9976,International Criminology,hybrid,1990,2022,Springerhybrid
2662-9739,International Cybersecurity Law Review,hybrid,2890,2022,Springerhybrid
1612-4812,International Economics and Economic Policy,hybrid,2780,2022,Springerhybrid
1555-1938,International Entrepreneurship and Management Journal,hybrid,2990,2022,Springerhybrid
1573-1553,"International Environmental Agreements: Politics, Law and Economics",hybrid,3390,2022,Springerhybrid
1573-1782,International Journal for Educational and Vocational Guidance,hybrid,2690,2022,Springerhybrid
1572-8684,International Journal for Philosophy of Religion,hybrid,2890,2022,Springerhybrid
1573-3246,International Journal for the Advancement of Counselling,hybrid,2780,2022,Springerhybrid
1572-8722,International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique,hybrid,2780,2022,Springerhybrid
0975-5616,International Journal of Advances in Engineering Sciences and Applied Mathematics,hybrid,2890,2022,Springerhybrid
2093-2480,International Journal of Aeronautical and Space Sciences,hybrid,2890,2022,Springerhybrid
2199-5796,International Journal of Applied and Computational Mathematics,hybrid,2780,2022,Springerhybrid
2364-5059,International Journal of Applied Positive Psychology,hybrid,2990,2022,Springerhybrid
1560-4306,International Journal of Artificial Intelligence in Education,hybrid,2690,2022,Springerhybrid
1751-8520,International Journal of Automation and Computing,hybrid,2890,2022,Springerhybrid
1532-7558,International Journal of Behavioral Medicine,hybrid,3860,2022,Springerhybrid
1432-1254,International Journal of Biometeorology,hybrid,3390,2022,Springerhybrid
2523-3661,International Journal of Bullying Prevention,hybrid,2890,2022,Springerhybrid
2383-3874,International Journal of Civil Engineering,hybrid,3390,2022,Springerhybrid
1437-7772,International Journal of Clinical Oncology,hybrid,4190,2022,Springerhybrid
2210-7711,International Journal of Clinical Pharmacy,hybrid,3390,2022,Springerhybrid
1937-1217,International Journal of Cognitive Therapy,hybrid,2990,2022,Springerhybrid
1432-1262,International Journal of Colorectal Disease,hybrid,3390,2022,Springerhybrid
2524-5309,International Journal of Community Well-Being,hybrid,2890,2022,Springerhybrid
1861-6429,International Journal of Computer Assisted Radiology and Surgery,hybrid,4190,2022,Springerhybrid
1573-1405,International Journal of Computer Vision,hybrid,3390,2022,Springerhybrid
1556-1615,International Journal of Computer-Supported Collaborative Learning,hybrid,2890,2022,Springerhybrid
2364-4168,International Journal of Data Science and Analytics,hybrid,2890,2022,Springerhybrid
1998-3832,International Journal of Diabetes in Developing Countries,hybrid,3280,2022,Springerhybrid
2524-7840,International Journal of Digital Humanities,hybrid,2780,2022,Springerhybrid
1746-6539,International Journal of Disclosure and Governance,hybrid,2690,2022,Springerhybrid
2195-2698,International Journal of Dynamics and Control,hybrid,2890,2022,Springerhybrid
1878-4658,International Journal of Early Childhood,hybrid,2890,2022,Springerhybrid
1437-3262,International Journal of Earth Sciences,hybrid,3280,2022,Springerhybrid
1881-4387,International Journal of Economic Policy Studies,hybrid,2780,2022,Springerhybrid
2251-6832,International Journal of Energy and Environmental Engineering,hybrid,3390,2022,Springerhybrid
2522-0101,International Journal of Energy and Water Resources,hybrid,2780,2022,Springerhybrid
2008-2304,International Journal of Environmental Research,hybrid,3390,2022,Springerhybrid
1735-2630,International Journal of Environmental Science and Technology,hybrid,3390,2022,Springerhybrid
2364-0006,International Journal of Ethics Education,hybrid,2890,2022,Springerhybrid
1573-2673,International Journal of Fracture,hybrid,3190,2022,Springerhybrid
2199-3211,International Journal of Fuzzy Systems,hybrid,3280,2022,Springerhybrid
1432-1270,International Journal of Game Theory,hybrid,2690,2022,Springerhybrid
2199-9279,International Journal of Geosynthetics and Ground Engineering,hybrid,3390,2022,Springerhybrid
0976-1888,International Journal of Global Business and Competitiveness,hybrid,2890,2022,Springerhybrid
2199-9031,International Journal of Health Economics and Management,hybrid,3390,2022,Springerhybrid
1574-9282,International Journal of Hindu Studies,hybrid,2890,2022,Springerhybrid
1573-7748,International Journal of Historical Archaeology,hybrid,2890,2022,Springerhybrid
1476-5489,International Journal of Impotence Research,hybrid,4190,2022,Springerhybrid
1615-5270,International Journal of Information Security,hybrid,2990,2022,Springerhybrid
2511-2112,International Journal of Information Technology,hybrid,2890,2022,Springerhybrid
2366-598X,International Journal of Intelligent Robotics and Applications,hybrid,2890,2022,Springerhybrid
1868-8659,International Journal of Intelligent Transportation Systems Research,hybrid,2990,2022,Springerhybrid
2509-9965,International Journal of Latin American Religions,hybrid,2890,2022,Springerhybrid
1437-1596,International Journal of Legal Medicine,hybrid,4190,2022,Springerhybrid
1868-808X,International Journal of Machine Learning and Cybernetics,hybrid,3390,2022,Springerhybrid
1960-6214,International Journal of Material Forming,hybrid,3390,2022,Springerhybrid
1573-8841,International Journal of Mechanics and Materials in Design,hybrid,3790,2022,Springerhybrid
1557-1882,International Journal of Mental Health and Addiction,hybrid,3490,2022,Springerhybrid
2163-3193,International Journal of Metalcasting,hybrid,3390,2022,Springerhybrid
1869-103X,"International Journal of Minerals, Metallurgy and Materials",hybrid,2890,2022,Springerhybrid
2192-662X,International Journal of Multimedia Information Retrieval,hybrid,2990,2022,Springerhybrid
1476-5497,International Journal of Obesity,hybrid,4390,2022,Springerhybrid
1573-7640,International Journal of Parallel Programming,hybrid,2780,2022,Springerhybrid
1997-1400,International Journal of Pavement Research and Technology,hybrid,2780,2022,Springerhybrid
1573-3904,International Journal of Peptide Research and Therapeutics,hybrid,3490,2022,Springerhybrid
1735-8043,International Journal of Plant Production,hybrid,2990,2022,Springerhybrid
1573-3416,"International Journal of Politics, Culture, and Society",hybrid,2890,2022,Springerhybrid
2005-4602,International Journal of Precision Engineering and Manufacturing,hybrid,2780,2022,Springerhybrid
2198-0810,International Journal of Precision Engineering and Manufacturing-Green Technology,hybrid,3390,2022,Springerhybrid
1573-8604,International Journal of Primatology,hybrid,3390,2022,Springerhybrid
2198-9753,International Journal of Research in Undergraduate Mathematics Education,hybrid,2890,2022,Springerhybrid
1573-1774,International Journal of Science and Mathematics Education,hybrid,2890,2022,Springerhybrid
1875-4805,International Journal of Social Robotics,hybrid,3490,2022,Springerhybrid
1572-8110,International Journal of Speech Technology,hybrid,2780,2022,Springerhybrid
2093-6311,International Journal of Steel Structures,hybrid,2890,2022,Springerhybrid
0976-4348,International Journal of System Assurance Engineering and Management,hybrid,2890,2022,Springerhybrid
1573-1804,International Journal of Technology and Design Education,hybrid,2890,2022,Springerhybrid
1874-6292,International Journal of the Classical Tradition,hybrid,2780,2022,Springerhybrid
2520-8691,International Journal of the Sociology of Leisure,hybrid,2780,2022,Springerhybrid
1572-9575,International Journal of Theoretical Physics,hybrid,2890,2022,Springerhybrid
1572-9567,International Journal of Thermophysics,hybrid,2890,2022,Springerhybrid
1742-7592,International Journal of Tropical Insect Science,hybrid,2890,2022,Springerhybrid
1572-8129,International Journal of Wireless Information Networks,hybrid,2890,2022,Springerhybrid
2524-5244,"International Journal on Child Maltreatment: Research, Policy and Practice",hybrid,2890,2022,Springerhybrid
1432-1300,International Journal on Digital Libraries,hybrid,2690,2022,Springerhybrid
1433-2825,International Journal on Document Analysis and Recognition (IJDAR),hybrid,2890,2022,Springerhybrid
1955-2505,International Journal on Interactive Design and Manufacturing (IJIDeM),hybrid,3280,2022,Springerhybrid
1433-2787,International Journal on Software Tools for Technology Transfer,hybrid,2780,2022,Springerhybrid
1618-1905,International Microbiology,hybrid,2890,2022,Springerhybrid
2228-5326,International Nano Letters,hybrid,3390,2022,Springerhybrid
1573-2630,International Ophthalmology,hybrid,3390,2022,Springerhybrid
1432-5195,International Orthopaedics,hybrid,3860,2022,Springerhybrid
1740-3898,International Politics,hybrid,2890,2022,Springerhybrid
2050-2990,International Politics Reviews,hybrid,2780,2022,Springerhybrid
1863-4613,International Review of Economics,hybrid,2890,2022,Springerhybrid
1573-0638,International Review of Education,hybrid,2890,2022,Springerhybrid
1865-1992,International Review on Public and Nonprofit Marketing,hybrid,2890,2022,Springerhybrid
1573-6970,International Tax and Public Finance,hybrid,2990,2022,Springerhybrid
1433-3023,International Urogynecology Journal,hybrid,3390,2022,Springerhybrid
1573-2584,International Urology and Nephrology,hybrid,3280,2022,Springerhybrid
1432-1297,Inventiones mathematicae,hybrid,2890,2022,Springerhybrid
1573-0646,Investigational New Drugs,hybrid,4190,2022,Springerhybrid
1862-0760,Ionics,hybrid,3390,2022,Springerhybrid
2520-8446,Iran Journal of Computer Science,hybrid,2780,2022,Springerhybrid
2364-1819,"Iranian Journal of Science and Technology, Transactions A: Science",hybrid,2780,2022,Springerhybrid
2364-1843,"Iranian Journal of Science and Technology, Transactions of Civil Engineering",hybrid,2890,2022,Springerhybrid
2364-1827,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",hybrid,2890,2022,Springerhybrid
2364-1835,"Iranian Journal of Science and Technology, Transactions of Mechanical Engineering",hybrid,2990,2022,Springerhybrid
1735-5265,Iranian Polymer Journal,hybrid,3390,2022,Springerhybrid
1863-4362,Irish Journal of Medical Science (1971 -),hybrid,3390,2022,Springerhybrid
1432-1319,Irrigation Science,hybrid,3190,2022,Springerhybrid
1565-8511,Israel Journal of Mathematics,hybrid,2890,2022,Springerhybrid
2509-7997,ISSS Journal of Micro and Smart Systems,hybrid,2890,2022,Springerhybrid
2199-3238,Italian Economic Journal,hybrid,2890,2022,Springerhybrid
2662-3331,Italian Journal of Marketing,hybrid,2890,2022,Springerhybrid
1869-7135,Jahresbericht der Deutschen Mathematiker-Vereinigung,hybrid,2890,2022,Springerhybrid
1868-937X,Japan Journal of Industrial and Applied Mathematics,hybrid,2890,2022,Springerhybrid
1867-108X,Japanese Journal of Radiology,hybrid,3490,2022,Springerhybrid
2520-8764,Japanese Journal of Statistics and Data Science,hybrid,2780,2022,Springerhybrid
1432-1327,JBIC Journal of Biological Inorganic Chemistry,hybrid,3390,2022,Springerhybrid
1572-8579,Jewish History,hybrid,2780,2022,Springerhybrid
2364-4869,Jindal Global Law Review,hybrid,2890,2022,Springerhybrid
2524-7913,JMST Advances,hybrid,2690,2022,Springerhybrid
1543-1851,JOM,hybrid,3390,2022,Springerhybrid
1565-8538,Journal d'Analyse Mathématique,hybrid,2890,2022,Springerhybrid
1572-8587,Journal for General Philosophy of Science,hybrid,2890,2022,Springerhybrid
2520-8713,Journal for STEM Education Research,hybrid,2890,2022,Springerhybrid
1867-4313,Journal für Ästhetische Chirurgie,hybrid,2990,2022,Springerhybrid
1728-6271,Journal für Gastroenterologische und Hepatologische Erkrankungen,hybrid,2990,2022,Springerhybrid
1996-1553,Journal für Gynäkologische Endokrinologie/Österreich,hybrid,2990,2022,Springerhybrid
2520-8500,Journal für Gynäkologische Endokrinologie/Schweiz,hybrid,2990,2022,Springerhybrid
1998-7781,Journal für Klinische Endokrinologie und Stoffwechsel,hybrid,2990,2022,Springerhybrid
1869-2699,Journal für Mathematik-Didaktik,hybrid,3090,2022,Springerhybrid
2412-8287,Journal für Mineralstoffwechsel & Muskuloskelettale Erkrankungen,hybrid,2990,2022,Springerhybrid
1680-9424,Journal für Urologie und Urogynäkologie/Österreich,hybrid,2990,2022,Springerhybrid
2730-7174,Journal of Abnormal Child Psychology,hybrid,2780,2022,Springerhybrid
1572-8544,Journal of Academic Ethics,hybrid,2890,2022,Springerhybrid
1993-0399,Journal of Acupuncture and Tuina Science,hybrid,3280,2022,Springerhybrid
1573-3440,Journal of Adult Development,hybrid,2890,2022,Springerhybrid
1936-4741,Journal of African American Studies,hybrid,2990,2022,Springerhybrid
1573-322X,Journal of Agricultural and Environmental Ethics,hybrid,2890,2022,Springerhybrid
1537-2693,"Journal of Agricultural, Biological and Environmental Statistics",hybrid,2780,2022,Springerhybrid
1572-9192,Journal of Algebraic Combinatorics,hybrid,2780,2022,Springerhybrid
1868-5145,Journal of Ambient Intelligence and Humanized Computing,hybrid,3390,2022,Springerhybrid
2509-4696,Journal of Analysis and Testing,hybrid,3390,2022,Springerhybrid
1438-8359,Journal of Anesthesia,hybrid,3390,2022,Springerhybrid
2367-1734,Journal of Applied and Computational Topology,hybrid,2890,2022,Springerhybrid
1572-8838,Journal of Applied Electrochemistry,hybrid,3280,2022,Springerhybrid
2190-3883,Journal of Applied Genetics,hybrid,3390,2022,Springerhybrid
1865-2085,Journal of Applied Mathematics and Computing,hybrid,2890,2022,Springerhybrid
1573-5176,Journal of Applied Phycology,hybrid,3280,2022,Springerhybrid
2204-9207,Journal of Applied Youth Studies,hybrid,2780,2022,Springerhybrid
1573-7764,Journal of Archaeological Method and Theory,hybrid,2890,2022,Springerhybrid
1573-7756,Journal of Archaeological Research,hybrid,2890,2022,Springerhybrid
2194-7783,Journal of Arid Land,hybrid,2780,2022,Springerhybrid
1619-0904,Journal of Artificial Organs,hybrid,3390,2022,Springerhybrid
1479-179X,Journal of Asset Management,hybrid,2890,2022,Springerhybrid
1573-7330,Journal of Assisted Reproduction and Genetics,hybrid,4190,2022,Springerhybrid
1573-0662,Journal of Atmospheric Chemistry,hybrid,3390,2022,Springerhybrid
1573-3432,Journal of Autism and Developmental Disorders,hybrid,2890,2022,Springerhybrid
1573-0670,Journal of Automated Reasoning,hybrid,2690,2022,Springerhybrid
2524-7964,Journal of Banking and Financial Technology,hybrid,2890,2022,Springerhybrid
1750-2071,Journal of Banking Regulation,hybrid,2890,2022,Springerhybrid
1573-3513,Journal of Behavioral Education,hybrid,2990,2022,Springerhybrid
1573-3521,Journal of Behavioral Medicine,hybrid,4190,2022,Springerhybrid
2523-3564,Journal of Big Data Analytics in Transportation,hybrid,2780,2022,Springerhybrid
2198-4239,Journal of Bio- and Tribo-Corrosion,hybrid,2890,2022,Springerhybrid
1573-6989,Journal of Bioeconomics,hybrid,2780,2022,Springerhybrid
1573-6881,Journal of Bioenergetics and Biomembranes,hybrid,3390,2022,Springerhybrid
1872-4353,Journal of Bioethical Inquiry,hybrid,3790,2022,Springerhybrid
1573-0689,Journal of Biological Physics,hybrid,2890,2022,Springerhybrid
1573-5001,Journal of Biomolecular NMR,hybrid,3280,2022,Springerhybrid
2543-2141,Journal of Bionic Engineering,hybrid,2990,2022,Springerhybrid
2234-1862,Journal of Biosystems Engineering,hybrid,2890,2022,Springerhybrid
1479-1803,Journal of Brand Management,hybrid,2990,2022,Springerhybrid
2365-3167,Journal of Building Pathology and Rehabilitation,hybrid,3390,2022,Springerhybrid
1573-353X,Journal of Business and Psychology,hybrid,2990,2022,Springerhybrid
2509-7970,Journal of Business Cycle Research,hybrid,2780,2022,Springerhybrid
1861-8928,Journal of Business Economics,hybrid,2780,2022,Springerhybrid
1573-0697,Journal of Business Ethics,hybrid,3390,2022,Springerhybrid
1543-0154,Journal of Cancer Education,hybrid,3390,2022,Springerhybrid
1432-1335,Journal of Cancer Research and Clinical Oncology,hybrid,4190,2022,Springerhybrid
1932-2267,Journal of Cancer Survivorship,hybrid,4190,2022,Springerhybrid
1937-5395,Journal of Cardiovascular Translational Research,hybrid,4190,2022,Springerhybrid
1873-961X,Journal of Cell Communication and Signaling,hybrid,3280,2022,Springerhybrid
2227-5223,Journal of Central South University,hybrid,3260,2022,Springerhybrid
1572-8854,Journal of Chemical Crystallography,hybrid,2890,2022,Springerhybrid
1573-1561,Journal of Chemical Ecology,hybrid,3280,2022,Springerhybrid
1936-153X,Journal of Child & Adolescent Trauma,hybrid,2890,2022,Springerhybrid
1573-2843,Journal of Child and Family Studies,hybrid,2890,2022,Springerhybrid
1874-6357,Journal of Chinese Political Science,hybrid,2990,2022,Springerhybrid
2190-5479,Journal of Civil Structural Health Monitoring,hybrid,3390,2022,Springerhybrid
1432-1343,Journal of Classification,hybrid,2890,2022,Springerhybrid
1573-2592,Journal of Clinical Immunology,hybrid,4790,2022,Springerhybrid
1573-2614,Journal of Clinical Monitoring and Computing,hybrid,3390,2022,Springerhybrid
1573-3572,Journal of Clinical Psychology in Medical Settings,hybrid,3390,2022,Springerhybrid
1572-8862,Journal of Cluster Science,hybrid,3390,2022,Springerhybrid
1874-7841,Journal of Coastal Conservation,hybrid,2780,2022,Springerhybrid
1935-3804,Journal of Coatings Technology and Research,hybrid,3390,2022,Springerhybrid
2509-3304,Journal of Cognitive Enhancement,hybrid,2890,2022,Springerhybrid
1573-2886,Journal of Combinatorial Optimization,hybrid,2890,2022,Springerhybrid
1868-6001,Journal of Community Genetics,hybrid,3390,2022,Springerhybrid
1573-3610,Journal of Community Health,hybrid,4190,2022,Springerhybrid
1432-1351,Journal of Comparative Physiology A,hybrid,3390,2022,Springerhybrid
1432-136X,Journal of Comparative Physiology B,hybrid,3280,2022,Springerhybrid
1572-8137,Journal of Computational Electronics,hybrid,2890,2022,Springerhybrid
1573-6873,Journal of Computational Neuroscience,hybrid,3190,2022,Springerhybrid
2432-2725,Journal of Computational Social Science,hybrid,2780,2022,Springerhybrid
1860-4749,Journal of Computer Science and Technology,hybrid,2890,2022,Springerhybrid
2263-8733,Journal of Computer Virology and Hacking Techniques,hybrid,2890,2022,Springerhybrid
1573-4951,Journal of Computer-Aided Molecular Design,hybrid,3490,2022,Springerhybrid
2197-9995,Journal of Computers in Education,hybrid,2890,2022,Springerhybrid
1867-1233,Journal of Computing in Higher Education,hybrid,2890,2022,Springerhybrid
1573-0700,Journal of Consumer Policy,hybrid,2890,2022,Springerhybrid
1661-5867,Journal of Consumer Protection and Food Safety,hybrid,3390,2022,Springerhybrid
1573-3564,Journal of Contemporary Psychotherapy,hybrid,3390,2022,Springerhybrid
2195-3899,"Journal of Control, Automation and Electrical Systems",hybrid,2890,2022,Springerhybrid
2005-8276,Journal of Crop Science and Biotechnology,hybrid,3390,2022,Springerhybrid
1573-0719,Journal of Cross-Cultural Gerontology,hybrid,2780,2022,Springerhybrid
2190-8516,Journal of Cryptographic Engineering,hybrid,2780,2022,Springerhybrid
1432-1378,Journal of Cryptology,hybrid,2780,2022,Springerhybrid
2520-1018,Journal of Cultural Cognitive Science,hybrid,2890,2022,Springerhybrid
1573-6997,Journal of Cultural Economics,hybrid,2890,2022,Springerhybrid
2524-6364,"Journal of Data, Information and Management",hybrid,2780,2022,Springerhybrid
2199-465X,Journal of Developmental and Life-Course Criminology,hybrid,2990,2022,Springerhybrid
1573-3580,Journal of Developmental and Physical Disabilities,hybrid,2890,2022,Springerhybrid
2522-0934,Journal of Dharma Studies,hybrid,2890,2022,Springerhybrid
2251-6581,Journal of Diabetes & Metabolic Disorders,hybrid,3280,2022,Springerhybrid
1618-727X,Journal of Digital Imaging,hybrid,4190,2022,Springerhybrid
2199-7454,Journal of Dynamic Behavior of Materials,hybrid,2780,2022,Springerhybrid
1573-8698,Journal of Dynamical and Control Systems,hybrid,3390,2022,Springerhybrid
1572-9222,Journal of Dynamics and Differential Equations,hybrid,2890,2022,Springerhybrid
1867-111X,Journal of Earth Science,hybrid,2890,2022,Springerhybrid
1572-8560,Journal of East Asian Linguistics,hybrid,2780,2022,Springerhybrid
1880-344X,Journal of Echocardiography,hybrid,3280,2022,Springerhybrid
1573-7020,Journal of Economic Growth,hybrid,3860,2022,Springerhybrid
1860-7128,Journal of Economic Interaction and Coordination,hybrid,2780,2022,Springerhybrid
1617-7134,Journal of Economics,hybrid,2890,2022,Springerhybrid
1938-9744,Journal of Economics and Finance,hybrid,2690,2022,Springerhybrid
2520-842X,"Journal of Economics, Race, and Policy",hybrid,2890,2022,Springerhybrid
1573-1812,Journal of Educational Change,hybrid,2990,2022,Springerhybrid
1573-2681,Journal of Elasticity,hybrid,3190,2022,Springerhybrid
2093-7423,Journal of Electrical Engineering & Technology,hybrid,2890,2022,Springerhybrid
1573-8663,Journal of Electroceramics,hybrid,3090,2022,Springerhybrid
1543-186X,Journal of Electronic Materials,hybrid,2890,2022,Springerhybrid
1573-0727,Journal of Electronic Testing,hybrid,2890,2022,Springerhybrid
2296-9039,Journal of Elliptic and Parabolic Equations,hybrid,2890,2022,Springerhybrid
1720-8386,Journal of Endocrinological Investigation,hybrid,4190,2022,Springerhybrid
1573-2703,Journal of Engineering Mathematics,hybrid,3140,2022,Springerhybrid
2052-336X,Journal of Environmental Health Science and Engineering,hybrid,3190,2022,Springerhybrid
2190-6491,Journal of Environmental Studies and Sciences,hybrid,2890,2022,Springerhybrid
1439-5444,Journal of Ethology,hybrid,3090,2022,Springerhybrid
1424-3202,Journal of Evolution Equations,hybrid,2890,2022,Springerhybrid
1432-1386,Journal of Evolutionary Economics,hybrid,2890,2022,Springerhybrid
1572-8315,Journal of Experimental Criminology,hybrid,2890,2022,Springerhybrid
1559-064X,Journal of Exposure Science & Environmental Epidemiology,hybrid,4790,2022,Springerhybrid
1864-1245,Journal of Failure Analysis and Prevention,hybrid,2890,2022,Springerhybrid
1573-3475,Journal of Family and Economic Issues,hybrid,2690,2022,Springerhybrid
1573-2851,Journal of Family Violence,hybrid,3390,2022,Springerhybrid
2348-8859,Journal of Fetal Medicine,hybrid,3390,2022,Springerhybrid
1479-1846,Journal of Financial Services Marketing,hybrid,2890,2022,Springerhybrid
1573-0735,Journal of Financial Services Research,hybrid,2690,2022,Springerhybrid
1661-7746,Journal of Fixed Point Theory and Applications,hybrid,2890,2022,Springerhybrid
2063-0212,Journal of Flow Chemistry,hybrid,2780,2022,Springerhybrid
1573-4994,Journal of Fluorescence,hybrid,3790,2022,Springerhybrid
2193-4134,Journal of Food Measurement and Characterization,hybrid,2890,2022,Springerhybrid
0975-8402,Journal of Food Science and Technology,hybrid,3390,2022,Springerhybrid
1993-0607,Journal of Forestry Research,hybrid,2790,2022,Springerhybrid
2509-8039,Journal of Formative Design in Learning,hybrid,2780,2022,Springerhybrid
1531-5851,Journal of Fourier Analysis and Applications,hybrid,2690,2022,Springerhybrid
1572-9591,Journal of Fusion Energy,hybrid,3280,2022,Springerhybrid
1573-3602,Journal of Gambling Studies,hybrid,3280,2022,Springerhybrid
1435-5922,Journal of Gastroenterology,hybrid,4790,2022,Springerhybrid
1941-6636,Journal of Gastrointestinal Cancer,hybrid,3390,2022,Springerhybrid
1873-4626,Journal of Gastrointestinal Surgery,hybrid,4190,2022,Springerhybrid
1525-1497,Journal of General Internal Medicine,hybrid,4480,2022,Springerhybrid
1610-739X,Journal of General Plant Pathology,hybrid,3290,2022,Springerhybrid
1432-1394,Journal of Geodesy,hybrid,3190,2022,Springerhybrid
1861-9568,Journal of Geographical Sciences,hybrid,2890,2022,Springerhybrid
1435-5949,Journal of Geographical Systems,hybrid,2890,2022,Springerhybrid
1420-8997,Journal of Geometry,hybrid,2890,2022,Springerhybrid
2509-8829,Journal of Geovisualization and Spatial Analysis,hybrid,2890,2022,Springerhybrid
2251-7316,Journal of Global Entrepreneurship Research,hybrid,2780,2022,Springerhybrid
1573-2916,Journal of Global Optimization,hybrid,2780,2022,Springerhybrid
1572-9184,Journal of Grid Computing,hybrid,2990,2022,Springerhybrid
1573-7780,Journal of Happiness Studies,hybrid,2990,2022,Springerhybrid
2509-3436,Journal of Hardware and Systems Security,hybrid,2780,2022,Springerhybrid
2509-498X,Journal of Healthcare Informatics Research,hybrid,2990,2022,Springerhybrid
1865-5785,Journal of Hematopathology,hybrid,3280,2022,Springerhybrid
1572-9397,Journal of Heuristics,hybrid,2780,2022,Springerhybrid
1512-2891,Journal of Homotopy and Related Structures,hybrid,2780,2022,Springerhybrid
1573-7772,Journal of Housing and the Built Environment,hybrid,2890,2022,Springerhybrid
1435-232X,Journal of Human Genetics,hybrid,4790,2022,Springerhybrid
1476-5527,Journal of Human Hypertension,hybrid,4190,2022,Springerhybrid
2365-1792,Journal of Human Rights and Social Work,hybrid,2780,2022,Springerhybrid
1878-0342,Journal of Hydrodynamics,hybrid,2890,2022,Springerhybrid
1886-7995,Journal of Iberian Geology,hybrid,2780,2022,Springerhybrid
1557-1920,Journal of Immigrant and Minority Health,hybrid,3280,2022,Springerhybrid
1573-1111,Journal of Inclusion Phenomena and Macrocyclic Chemistry,hybrid,3390,2022,Springerhybrid
2363-9962,Journal of Indian Council of Philosophical Research,hybrid,2780,2022,Springerhybrid
1573-0395,Journal of Indian Philosophy,hybrid,2890,2022,Springerhybrid
1972-4977,Journal of Industrial and Business Economics,hybrid,2890,2022,Springerhybrid
1573-7012,"Journal of Industry, Competition and Trade",hybrid,2780,2022,Springerhybrid
1866-6906,"Journal of Infrared, Millimeter, and Terahertz Waves",hybrid,3280,2022,Springerhybrid
1574-1451,Journal of Inorganic and Organometallic Polymers and Materials,hybrid,3490,2022,Springerhybrid
1572-8889,Journal of Insect Behavior,hybrid,3280,2022,Springerhybrid
1572-9753,Journal of Insect Conservation,hybrid,3390,2022,Springerhybrid
1573-0409,Journal of Intelligent & Robotic Systems,hybrid,2890,2022,Springerhybrid
